2018/7/6 13:41:54	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=0A01,1C0D,0807\r\n
2018/7/6 13:41:54	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/6 13:41:54	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:41:55	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:41:55	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=9800000000000000\r\n
2018/7/6 13:41:55	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/7/6 13:41:55	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/6 13:41:56	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/6 13:41:56	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,0A0A,0A13,0000,0000,0000,0000,0A01\r\n
2018/7/6 13:41:56	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/6 13:41:56	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/7/6 13:41:56	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=0A01,0A01,0000\r\n
2018/7/6 13:41:57	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=0A01,1C05,0809\r\n
2018/7/6 13:41:57	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/6 13:41:57	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:41:57	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:41:58	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=9800000000000000\r\n
2018/7/6 13:41:58	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/7/6 13:41:58	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/6 13:41:58	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/6 13:41:58	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,0A0A,0A13,0000,0000,0000,0000,0A01\r\n
2018/7/6 13:41:59	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/6 13:41:59	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/7/6 13:41:59	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=0A01,0A02,0000\r\n
2018/7/6 13:41:59	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=0A01,1BFD,0809\r\n
2018/7/6 13:42:00	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/6 13:42:00	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:42:00	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:42:00	CMD: 	?STATUS\r\n	FEEDBACK: 	STATUS=9800000000000000\r\n
2018/7/6 13:42:00	CMD: 	?DSN\r\n	FEEDBACK: 	DSN=A02848\r\n
2018/7/6 13:42:01	CMD: 	?OPMD\r\n	FEEDBACK: 	OPMOD=ANG\r\n
2018/7/6 13:42:01	CMD: 	?OUTPUT\r\n	FEEDBACK: 	ISET=0000\r\n
2018/7/6 13:42:01	CMD: 	?TMONRT\r\n	FEEDBACK: 	TMONRT=0000,0A0A,0A13,0000,0000,0000,0000,0A01\r\n
2018/7/6 13:42:01	CMD: 	?TMONTHRS\r\n	FEEDBACK: 	TTHRESHOLD=639C,0FA0,0FA0,639C,639C,639C,639C,1194\r\n
2018/7/6 13:42:02	CMD: 	?PARAG6\r\n	FEEDBACK: 	PARAG6=FF0505FFFFFFFFFF8202\r\n
2018/7/6 13:42:02	CMD: 	?TOFW\r\n	FEEDBACK: 	TOFW=0A00,0A03,0000\r\n
2018/7/6 13:42:02	CMD: 	?ENVC\r\n	FEEDBACK: 	ENVC=0A01,1BF4,080B\r\n
2018/7/6 13:42:02	CMD: 	?PD\r\n	FEEDBACK: 	PD=0000,0000,0000\r\n
2018/7/6 13:42:02	CMD: 	?IMAXMFG\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
2018/7/6 13:42:03	CMD: 	?IMAXUSR\r\n	FEEDBACK: 	IMAX_CW=03C0,IMAX_QCW=03C0,PMAX_CW=040D,PMAX_QCW=040D\r\n
